"iso3c.m","region","year","i.group","trade.value.USD.all","trade.value.unmatched","trade.value.unmatched.tt","trade.value.unmatched.hs4","trade.value.mismatch.costs","trade.value.mismatch.extreme.p","trade.value.mismatch.tariff","trade.value.mismatch.residual","trade.value.unmatched.im","trade.value.unmatched.im.tt","trade.value.unmatched.im.hs4"
"ABW","Latin America & Caribbean",2010,"H",984079880,213351623.662098,84980642.4663043,37252914.8715972,85084703,2796152.2,0,793635492.8,223584978.104444,15508278.8763824,69436495.0191734
"ABW","Latin America & Caribbean",2011,"H",1176745937,1502586406.84395,336053263.202582,55984871.9534671,111885814.8,3934646.4,76859794.7816687,872447910.018331,3427483282.93742,778904841.675958,275181112.386618
"ABW","Latin America & Caribbean",2012,"H",1124796725,977333254.133572,159030825.375086,75907093.4913419,114010060.3,18218179.8,73666003.1665277,831399559.733472,696121008.516494,338739094.850666,817022815.63284
"ABW","Latin America & Caribbean",2013,"H",1103098345,1759664062.86814,103415921.241567,90484400.8902953,147365933.8,4831616.5,98412353.0659626,1198798000.63404,436770900.534745,64373142.7110849,79180028.7541704
"ABW","Latin America & Caribbean",2014,"H",1146640329,1469681179.46565,378145029.267776,438230827.266573,138862687,2781342.6,0,1239097755.4,488659374.048184,24568386.1787847,28597644.773031
"ABW","Latin America & Caribbean",2015,"H",964299708,841250198.289675,177308328.118164,863900792.592161,70664293.7,2163826.5,46363225.3042613,657236365.495739,302920329.312497,57689995.5324807,51831284.1550219
"AFG","South Asia",2010,"L",3845792853,3604534403.16698,1288734058.99418,2301439883.83884,199946580.4,0,0,3631894815.6,245028923.799636,64666062.8616346,79077058.3387299
"AFG","South Asia",2011,"L",5011065716,4836181062.86548,1569739645.02517,2828511658.10935,304928305.7,0,190031547.273173,3661744913.02683,192193865.217237,46703191.7582327,111753872.02453
"AFG","South Asia",2012,"L",2604148075,6545791873.2585,2244655497.65323,1877601284.08827,34129423.6,0,11763560.3775,1561368920.0225,449196025.211457,62707098.7996022,162896650.98894
"AFG","South Asia",2013,"L",1981277504,8419842674.8494,1464331379.01137,2452673172.13923,22320634.3,0,10015720.9975,499025823.7025,541876430.692579,82579509.5698903,163035999.737531
"AFG","South Asia",2014,"L",4289047892,7742791375.85929,1084012942.05798,1971715304.08273,20785034.1,0,0,1285073735.9,548177015.492562,70551973.4258279,251087229.08161
"AFG","South Asia",2015,"L",4748384495,2367103403.28552,874938679.164762,2797683098.54972,82850962.8,0,0,2754467353.2,275848735.054983,32724769.6947895,114074354.250228
"AGO","Sub-Saharan Africa",2010,"LM",18057242860,972308222.472594,140960951.251342,369892915.276064,1421113863.7,51831089.4,1201306063.70156,9818331019.19844,1877980192.36023,202427430.667686,295087095.972085
"AGO","Sub-Saharan Africa",2011,"UM",20683719812,1413652218.80116,232080366.142287,504647892.056553,1578625649.8,82395434.8,1350865130.75317,9104663646.64683,4182054906.81928,609341331.922187,483640026.258536
"AGO","Sub-Saharan Africa",2012,"UM",28606200684,722056345.835023,298644111.077225,541712624.087752,1990594407.5,104562471.2,1690454042.2212,13197347080.0788,3203028590.45311,419554111.665472,2218071706.88142
"AGO","Sub-Saharan Africa",2013,"UM",26699705818,2107669006.94069,323616013.162933,611095675.896375,2124071321.8,55705556.2,1778548184.64855,14030817512.3514,3712576455.79958,368889495.679259,2123010439.52116
"AGO","Sub-Saharan Africa",2014,"UM",28569232647,559683804.731261,593198981.786087,1336762915.48265,2573124607.6,87852469.2,2936133232.33283,16108817154.8672,1085917653.58101,468373869.023301,2362905356.39569
"AGO","Sub-Saharan Africa",2015,"UM",16559412559,1548195257.04507,1011813153.85274,15476886.1021855,1429806990.4,213718821.6,1485246701.68063,9423302915.31937,539241295.69351,268443286.648812,1935970489.65768
"ALB","Europe & Central Asia",2010,"UM",4545940257,77449796.9732619,60912676.5202125,88683764.5065256,371806525.8,10609560.3,189242387.918598,1371277509.9814,91557080.5822044,37621931.6205398,99347760.7972558
"ALB","Europe & Central Asia",2011,"LM",5348687363,54133854.1742199,53576551.663349,88266073.1624311,433491223.8,27949362.4,150788649.182769,1610383601.61723,206313113.846695,47713158.4799803,130249931.673324
"ALB","Europe & Central Asia",2012,"UM",4779300502,24230358.0213802,65829455.2908651,115861969.687755,414820628.5,22426482.8,148415580.791157,1671009725.90884,102743567.324333,54802565.0374268,177459950.63824
"ALB","Europe & Central Asia",2013,"UM",4762611556,46640843.1066619,104588114.191244,129932862.702094,415706033.6,24929100.6,167405157.569484,1453655528.23052,122547349.34253,51085603.8560961,158756765.801374
"ALB","Europe & Central Asia",2014,"UM",5179182033,322667809.87556,419759360.019189,515700439.105251,355966004.9,1770920.5,142006904.887708,2853488183.71229,963400622.745414,141490448.497191,293307383.757395
"ALB","Europe & Central Asia",2015,"UM",4278321945,159875871.717691,230636628.442314,214195767.839996,351221045.4,744500.8,128083339.113537,1890360574.68646,443528337.039612,74822459.2116739,192332442.748714
"AND","Europe & Central Asia",2010,"H",1532999921,196427417.777397,70470543.937721,25375813.2848815,147478304.2,2840396.8,0,255804164,151834719.816291,46067691.6017318,30336412.5819767
"AND","Europe & Central Asia",2011,"H",1612568062,38307691.9506691,20643401.8733607,21710921.1759702,156649628.4,2953132.3,0,275469100.3,328819111.795649,37016651.2966686,32805759.9076824
"AND","Europe & Central Asia",2012,"H",1413445178,55226567.6454554,57736817.5177421,14241315.8368025,137989621.1,3357569.9,0,265593748,133990507.016634,28672881.6223789,49236183.3609867
"AND","Europe & Central Asia",2013,"H",1481168569,8060140.41952574,11344615.8817156,28644233.6987587,140604149.7,1952118.8,0,211109462.5,247568539.316587,10827800.8068432,12680023.8765696
"AND","Europe & Central Asia",2014,"H",1548048586,11684068.3043546,39307406.1233997,106581472.572246,147756537.3,3478118.2,0,242129535.5,321394475.185543,13682639.0688334,11579118.7456238
"ARE","Middle East & North Africa",2010,"H",18700662,91956882497.0719,26621491261.6513,36180857499.2768,799979205,0,0,7184050893,139702324398.234,6811480565.24207,10773746279.5238
"ARE","Middle East & North Africa",2011,"H",26968302,120595568128.929,31305906111.8076,40078673027.2635,924889569.3,0,0,8301254290.7,191666717971.758,8440345929.34076,12656687905.9016
"ARE","Middle East & North Africa",2012,"H",234734333336,2707889819.91743,1219163109.72482,4284854173.35775,20605395591.5,1538519130.3,6747063105.88154,140022565687.318,85220914605.871,898142098.789291,6478480107.33975
"ARE","Middle East & North Africa",2013,"H",251163633749,5956793621.48495,1088439686.59915,7712920243.9159,23375296157,1288166254.4,7869987070.13504,164430891271.465,47942905915.783,1131973051.4199,11393394128.7971
"ARE","Middle East & North Africa",2014,"H",252092439303,6485043858.05205,1132784487.17871,8045315059.76924,23237980065.3,7288890512.4,8142247474.52098,152612220863.779,89416310109.9055,5014612528.26387,10983619622.8307
"ARE","Middle East & North Africa",2015,"H",171797092821,4624530363.57215,1052922934.15936,6201069222.26849,21613471344.2,1565507596.6,6639646605.14649,127526395618.053,35450956180.7347,1310954084.33964,11085082616.9257
"ARG","Latin America & Caribbean",2010,"UM",53686596613,328819980.520377,292975050.552754,717906275.926869,5137762147,110302115.9,6773249913.50016,10547248922.5998,1378340610.7589,311312163.249666,1036015328.99143
"ARG","Latin America & Caribbean",2011,"UM",68834326080,350350223.780443,410046092.776124,993404993.443433,6576923047.1,155035010.9,8334475339.77607,13934326198.2239,1133202372.65268,380108243.850296,1488363455.49703
"ARG","Latin America & Caribbean",2012,"UM",66303070789,479427429.477772,449883471.248552,815445431.273676,5993845947,195972923.8,7492828826.63844,15837800698.5616,1422042666.43325,410569385.222177,1326589581.34458
"ARG","Latin America & Caribbean",2013,"UM",73002583099,453522479.452847,397967731.966444,953011204.580708,6656105387.09999,231888864.4,7538584513.60498,17719198404.895,1686894043.61222,430987116.436429,1205053418.95136
"ARG","Latin America & Caribbean",2014,"H",63834287325,546333945.283989,450398850.415613,793265974.300398,5637650045.2,149196690,6151685461.61458,17996892135.1854,1477821412.67634,340693070.307235,1260866601.01642
"ARG","Latin America & Caribbean",2015,"UM",57612236169,468041902.117459,357023108.469663,669218285.412878,5280131925.9,153556716.4,0,21717420832.7,1179190223.90097,255341375.89309,878753987.205939
"ARM","Europe & Central Asia",2010,"LM",3599580716,168011982.362903,98060768.9850419,142628307.652055,168506080.4,51249477.5,57129222.3198437,1219443911.78016,44638939.7060426,41142039.1777561,60807054.1162013
"ARM","Europe & Central Asia",2011,"LM",3929335209,287160720.613046,101254099.75982,156507044.627134,182018844,18146352.1,76101456.4814808,1240570351.41852,111621913.798798,48985864.1119608,132244713.089241
"ARM","Europe & Central Asia",2012,"LM",3825599549,275599415.660616,76483858.0462399,145128877.293144,194187601.1,30032677.8,82444142.4643992,1229039780.6356,117600273.195659,46573105.3865264,171151261.417814
"ARM","Europe & Central Asia",2013,"LM",4226599208,268067896.624614,80894071.6612808,143297286.714105,226317607.2,25070843.3,85972216.9589295,1460021700.54107,154703404.525979,24002997.8718094,117851461.602212
"ARM","Europe & Central Asia",2014,"LM",4104103908,271132484.784346,59773555.4655244,125805614.750129,239162064.4,90824028.4,97343945.2311626,1286259904.96884,105866495.906912,26826560.748306,114101246.344782
"ARM","Europe & Central Asia",2015,"LM",3026105933,110198609.489595,52188694.6249489,102050700.885456,163727523.4,21421822.8,62397904.6777908,1017972373.12221,63626936.5656103,10047430.2495687,126088867.184821
"ATG","Latin America & Caribbean",2013,"H",330512068,814255954.311225,111076496.765063,140776334.923712,55174071,3598591.3,0,457465260.7,263226175.24353,20992150.8687666,21489130.8877034
"ATG","Latin America & Caribbean",2014,"H",378481229,617338133.446376,60060280.4472684,78088189.1063552,47320324.7,1065855.5,55306930.9598543,336726522.840146,222326786.914253,26186220.8302844,7980237.255463
"ATG","Latin America & Caribbean",2015,"H",378255385,404611652.689483,42116358.1165861,46813807.1939313,86084635.6,10220144.1,93152379.7393641,639532741.560636,178447926.996083,28093175.0837259,13665969.9201909
"AUS","East Asia & Pacific",2010,"H",184174942482,1800817802.76153,1431696679.50111,6881450866.73736,15975979659.9,664218843.9,4370035376.47641,65853974401.7236,7031544391.67268,1929387139.55048,30577102438.7768
"AUS","East Asia & Pacific",2011,"H",215793784677,4725592637.59856,2243180953.80486,8506214244.59658,19404878864.5,1160557086.1,4878537957.52553,74572133081.8745,7710907978.79628,2725755439.11015,33288402113.0936
"AUS","East Asia & Pacific",2012,"H",231607056023,2667580683.60562,2894825550.10815,6531623483.28623,20906982995.1,790065264.7,5498538397.88318,76820305986.3168,8132895904.36506,1520630907.49777,33093426158.1372
"AUS","East Asia & Pacific",2013,"H",213220837925,2135047823.038,1677319476.26126,6106297231.70074,19996939684.8,907040339.9,5647650297.98446,69532552912.3155,9836563824.81879,1385620431.35707,39746946108.8241
"AUS","East Asia & Pacific",2014,"H",209075595875,6996023439.45297,2493693187.77448,4542822661.77256,19071094868.6,945785701.2,5519371322.6315,62329064967.5685,15330609554.8943,2493666227.6223,33599590731.4834
"AUS","East Asia & Pacific",2015,"H",185665317705,1698693951.93453,1908998475.82201,3553263416.24346,17806242269,1106098581.8,4753405472.65349,65371089857.5465,9121151030.12524,3286622710.51523,34476547298.3595
"AUT","Europe & Central Asia",2010,"H",143610028202,782943107.066217,730743115.672147,2326344504.26164,14324474148.1,685575501.9,4691615546.0185,57405741834.9815,3090016068.54878,1222224777.27522,7853557937.176
"AUT","Europe & Central Asia",2011,"H",172311444515,1558943817.84981,835243266.098776,1843852817.05141,16701002680,340081381.3,5231360144.17207,62437935295.5279,3855927026.97313,1688401817.58938,8662926650.43749
