"iso3c.m","region","year","i.group","trade.value.USD.all","trade.value.unmatched","trade.value.unmatched.tt","trade.value.unmatched.hs4","trade.value.mismatch.costs","trade.value.mismatch.extreme.p","trade.value.mismatch.residual","trade.value.unmatched.im","trade.value.unmatched.im.tt","trade.value.unmatched.im.hs4"
"ABW","Latin America & Caribbean",2014,"H",2112667193,1890059093.40395,458092704.467946,1221710259.1281,269392410.5,6457069.9,2571224600.6,742491034.915257,79985168.2195603,102512845.865183
"AFG","South Asia",2014,"L",10845414611,7869750784.93577,1856395967.71571,6112119245.34851,203633877.4,290959796.3,5087834886.3,554654625.695705,68467213.0023885,273078535.301907
"AGO","Sub-Saharan Africa",2014,"UM",45222865367,633619739.224454,678727363.55712,1269547921.21843,4251255195.5,186855265.6,31949609399.9,1618436071.72594,770736274.269794,4186285804.00426
"ALB","Europe & Central Asia",2014,"UM",9463529689,325231984.865079,465613904.614589,559297022.520332,758456346.8,66544390.1,5504320945.1,1104563019.94518,149942618.318062,356430547.736762
"AND","Europe & Central Asia",2014,"H",1551157375,53032560.1218425,62713250.9730778,124070003.90508,270751425.7,26698016,1239020651.3,340283630.452211,11606756.5312153,21616142.0165737
"ARE","Middle East & North Africa",2014,"H",428909447196,7742479409.29424,1424168982.58954,11023751830.1162,45738928420.5,13554177831.1,285835333637.4,91060300668.1796,4406604135.74535,16969452164.0751
"ARG","Latin America & Caribbean",2014,"H",122343711950,801727598.094404,547407259.331457,1263377466.57414,10984958945.3,341335728.1,46184708478.6,2239027992.7168,411044173.847463,2071471191.43573
"ARM","Europe & Central Asia",2014,"LM",7335806981,311454948.903315,82998412.7318056,185435441.364879,417015673.5,117405003.1,2696956513.4,119369838.603276,31448516.1959867,225403120.200737
"ATG","Latin America & Caribbean",2014,"H",757499884,1057941217.96465,74922720.0324845,87264279.0028682,136294980.7,11148558.5,1153648355.8,399546636.346177,55788434.8385228,20525993.8153007
"AUS","East Asia & Pacific",2014,"H",395366313850,3959378708.40171,2275430158.87896,5910045753.71934,37782201188.8,1245625887,142457828290.2,16653797566.3825,4887555239.50165,56798239080.1159
"AUT","Europe & Central Asia",2014,"H",308160549578,1534435228.46886,702768293.375338,1987602105.1558,30794758001,3442277454,133642655677,5145084497.69165,2080956361.25214,16045094639.0562
"AZE","Europe & Central Asia",2014,"UM",18261247824,942333630.01512,705950188.396926,1167755231.58795,2345534299.8,289752388.7,15230745056.5,824834059.547792,84872767.6420124,270952689.810196
"BDI","Sub-Saharan Africa",2014,"L",1151408021,21889731.1671858,38573623.4875952,70964752.345219,65659777.3,970358.8,640484671.9,51533337.9873277,7221516.54404685,20470882.4686255
"BEL","Europe & Central Asia",2014,"H",818514249196,3567066171.41856,2614161379.35052,6575809556.23092,72333579444.7,11915402659.6,296785375597.7,2459786236.43051,1826269509.85781,17018895331.7117
"BEN","Sub-Saharan Africa",2014,"L",6011380551,271753930.788409,568912707.319646,1335468583.89194,1337129804.9,3014898.2,12167137040.9,883173961.624157,35330932.3603314,83905210.0155114
"BFA","Sub-Saharan Africa",2014,"L",6069096171,305450692.165358,90981202.3752649,155266430.459377,378630582.6,6270962.6,3561959887.8,245758499.005913,56950551.1740685,59521018.8200187
"BGD","South Asia",2014,"LM",45912338889,2240355647.11678,679801122.393289,3104867635.48993,7390545648.2,1457394061.4,45687170942.4,988383832.068201,371781740.661362,1510633582.27044
"BGR","Europe & Central Asia",2014,"UM",62855736858,1319268942.50999,444657701.692348,970770423.797666,5591553363.7,289317896.9,23492831134.4,914851137.907649,437857265.511139,2710963291.58121
"BHR","Middle East & North Africa",2014,"H",36019908843,707165793.645786,314438727.643191,717402115.711023,2321095357.8,283074813.7,15659086675.5,1086480914.56105,203444024.624579,3132985950.81437
"BHS","Latin America & Caribbean",2014,"H",6723507749,10386063780.5985,1706463094.92402,434082624.477507,804038852.5,288884144.8,5837521139.7,4095701905.46205,186234497.099123,170283056.438826
