"FREQ","DATATYPE","PRODUCTCODE","PARTNER","REPORTER","obsTime","obsValue","TARIFFTYPE","OBS_VALUE_MEASURE","TOTALNOOFLINES","NBR_PREF_LINES","NBR_MFN_LINES","NBR_NA_LINES","SUM_OF_RATES","MIN_RATE","MAX_RATE","NOMENCODE"
"A","Reported","010121","000","008","2015",2,"MFN","SimpleAverage","1","0","1","0","2","2","2","H4"
"A","Reported","010121","070","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
"A","Reported","010121","498","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
"A","Reported","010121","499","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
"A","Reported","010121","688","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
"A","Reported","010121","807","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
"A","Reported","010121","895","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
"A","Reported","010121","A36","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
"A","Reported","010121","N56","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
"A","Reported","010129","000","008","2015",10,"MFN","SimpleAverage","2","0","2","0","20","10","10","H4"
"A","Reported","010129","070","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010129","498","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010129","499","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010129","688","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010129","807","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010129","895","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010129","A36","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010130","000","008","2015",6,"MFN","SimpleAverage","2","0","2","0","12","2","10","H4"
"A","Reported","010130","070","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010130","498","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010130","499","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010130","688","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010130","807","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010130","895","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010130","A36","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010130","N56","008","2015",0,"PREF","SimpleAverage","2","2","0","0","0","0","0","H4"
"A","Reported","010190","000","008","2015",10,"MFN","SimpleAverage","1","0","1","0","10","10","10","H4"
"A","Reported","010190","070","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
"A","Reported","010190","498","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
"A","Reported","010190","499","008","2015",0,"PREF","SimpleAverage","1","1","0","0","0","0","0","H4"
